v1,v2
22991,23772
23041,23573
23041,23759
23107,23685
23111,23538
23121,23612
23167,23731
23176,23739
23367,23575
23453,23597
23606,23806
23615,23699
23619,23675
23242,24233
23266,24384
23266,24699
23394,24022
23619,24726
23675,24726
23755,24375
24079,24279
24146,24660
24384,24699
24602,24716
24207,26085
24207,26191
24207,26264
24207,26348
24548,25851
25101,26114
25112,25617
25126,26521
25310,25984
25351,26483
25515,26614
25518,25886
25529,25820
25567,26360
25568,26621
25919,26560
25971,26664
25976,26573
26002,26546
26085,26191
26085,26264
26085,26348
26191,26264
26191,26348
26198,26370
26261,26474
26264,26348
26302,26668
26373,26659
41025,43263
41349,43025
41349,43277
41443,41836
41443,43657
41443,43696
41563,43576
41563,43592
41712,43691
41715,43324
41836,43696
42085,42357
42144,42661
42144,43628
42372,43580
42417,43699
42661,43628
42722,43586
43025,43277
43106,43354
43181,43698
43230,43567
43230,43581
43247,43587
43267,43420
43290,43439
43479,43695
43505,43524
43567,43581
43576,43592
43657,43696
20521,24196
21748,23981
21846,24124
22274,24265
23041,24110
23041,24415
23506,24538
23573,24415
23615,23865
23699,23865
23759,24110
23759,24480
23826,24409
23826,24502
23826,24523
23963,24340
24110,24480
24112,24409
24112,24502
24130,24505
24183,24247
24409,24502
24409,24523
28754,30503
29602,30365
29613,30632
29926,30632
30009,30504
30009,30614
30132,30466
30132,30573
30168,30549
30466,30573
30504,30614
22277,23904
22431,23903
22929,23948
22991,23948
23013,23982
23096,24000
23124,23836
23156,24065
23344,23880
23367,24065
23369,23857
23410,23876
23410,23904
23478,24026
23495,23903
23566,23823
23575,24065
23772,23948
23842,24027
23960,23974
35721,36948
35721,38107
37359,37573
37359,37987
37359,38021
37359,38092
37573,37987
37573,38021
37573,38078
37573,38092
37821,38059
37821,38074
37893,38107
37913,38028
37987,38021
37987,38078
37987,38092
38007,38108
38021,38078
38021,38092
38078,38092
44477,47063
45395,47027
45542,46680
45542,46695
45542,46755
45542,46766
45542,46772
45542,46782
45542,46794
45542,46873
45542,46913
45542,46942
45542,46964
45542,46994
45542,47028
45542,47032
45542,47138
45542,47150
45542,47178
45542,47204
45542,47216
45542,47225
45542,47279
45542,47282
45542,47283
45542,47296
45542,47298
45542,47315
45542,47362
45542,47375
45542,47379
45542,47389
45542,47403
45542,47409
45542,47415
45542,47419
45542,47439
45542,47443
45542,47445
45542,47448
45542,47451
45542,47452
45542,47460
45542,47470
45542,47473
45542,47490
45542,47492
52845,55163
52845,56426
53054,54246
53249,55739
53341,56428
53341,56478
53831,55149
53831,55222
53831,55372
53831,55594
53831,55998
53831,56217
53831,56399
53831,56436
53862,56447
54029,54782
54046,55500
54046,55792
54046,56455
54046,56481
54090,55153
54090,55266
54090,56028
54090,56186
54094,55058
54118,55688
54118,56244
54203,55906
54231,56444
54321,55954
54321,56393
54354,56026
54358,55639
54358,55948
54393,55080
54393,55224
54393,56206
54393,56485
54397,54743
54439,56354
54469,55089
54484,54877
54484,55485
54484,55535
54484,56037
54503,55283
54503,56412
54504,56471
54526,56364
54526,56371
54532,55361
54532,56195
54533,56141
54533,56431
54546,56100
54546,56416
54580,54669
54580,54787
54580,55792
54580,56273
54580,56481
54594,55922
54647,55212
54647,55517
54649,55748
54661,56020
54669,54787
54669,55500
54669,55792
54669,56273
54669,56481
54670,54813
54670,55753
54678,54732
54678,55009
54678,55780
54678,56388
54683,55700
54683,56252
54683,56264
54732,55009
54732,55780
54732,56388
54787,55792
54787,56273
54787,56481
54804,54985
54804,56083
54813,55753
54831,55364
54831,55479
54831,56132
54831,56226
54833,56212
54850,55478
54857,55353
54866,55186
54866,55326
54866,55734
54866,56324
54866,56356
54877,55535
54877,56037
54894,55788
54894,56000
54921,56420
54936,56385
54952,56470
54972,56337
54978,56225
54985,56083
54990,56239
54994,56141
54996,55111
55009,55780
55009,56388
55026,56319
55035,56108
55039,55953
55042,55807
55047,55355
55047,55851
55047,56004
55047,56043
55047,56403
55062,56444
55072,56123
55079,56224
55080,56206
55080,56485
55087,55758
55094,55993
55094,56326
55094,56441
55095,56282
55095,56482
55117,55334
55144,56386
55149,55222
55149,55372
55149,55594
55149,55998
55149,56217
55149,56399
55153,55266
55153,56028
55153,56186
55163,56465
55163,56472
55180,55845
55186,55326
55186,56324
55190,55455
55212,55517
55222,55372
55222,55594
55222,55998
55222,56217
55222,56399
55224,56206
55224,56485
55244,56008
55256,56066
55266,56186
55268,56457
55269,56137
55269,56389
55283,56412
55295,56197
55307,56258
55308,56155
55320,56135
55326,55734
55326,56324
55326,56356
55330,56150
55330,56276
55355,55851
55355,56004
55355,56043
55355,56403
55361,56195
55363,56267
55364,56132
55364,56226
55366,55865
55372,55998
55372,56217
55372,56399
55372,56436
55413,56479
55426,55602
55426,56306
55426,56417
55432,55672
55432,56288
55432,56332
55432,56339
55454,55628
55454,56111
55479,56132
55479,56226
55485,56037
55489,56172
55500,55792
55500,56455
55500,56481
55511,56371
55522,56182
55522,56245
55528,55892
55528,56340
55528,56456
55535,56037
55535,56244
55552,55596
55554,55675
55554,56006
55560,56299
55583,55828
55594,55998
55594,56325
55594,56399
55596,56406
55596,56415
55602,56306
55602,56417
