vehicle_id,shape_collider,length,width
94359,motorcycle,2.2,0.9
94361,passenger,5,1.8
94362,passenger,5,1.8
94364,passenger,5,1.8
94365,delivery,6.5,2.16
94366,passenger,5,1.8
94367,passenger,5,1.8
94368,delivery,6.5,2.16
94369,delivery,6.5,2.16
94370,passenger,5,1.8
94371,moped,2.1,0.8
94372,motorcycle,2.2,0.9
94373,delivery,6.5,2.16
94374,motorcycle,2.2,0.9
94375,delivery,6.5,2.16
94376,passenger,5,1.8
94377,delivery,6.5,2.16
94378,passenger,5,1.8
94380,delivery,6.5,2.16
94381,passenger,5,1.8
94382,passenger,5,1.8
94383,delivery,6.5,2.16
94385,moped,2.1,0.8
94386,delivery,6.5,2.16
94387,delivery,6.5,2.16
94388,moped,2.1,0.8
94389,passenger,5,1.8
94390,motorcycle,2.2,0.9
94391,motorcycle,2.2,0.9
94392,motorcycle,2.2,0.9
94393,delivery,6.5,2.16
94394,delivery,6.5,2.16
94395,delivery,6.5,2.16
94396,passenger,5,1.8
94397,motorcycle,2.2,0.9
94398,passenger,5,1.8
94399,delivery,6.5,2.16
94400,passenger,5,1.8
94401,passenger,5,1.8
94402,passenger,5,1.8
94403,moped,2.1,0.8
94404,motorcycle,2.2,0.9
94405,delivery,6.5,2.16
94406,delivery,6.5,2.16
94407,motorcycle,2.2,0.9
94408,passenger,5,1.8
94409,delivery,6.5,2.16
94410,passenger,5,1.8
94411,passenger,5,1.8
94412,delivery,6.5,2.16
94413,passenger,5,1.8
94414,passenger,5,1.8
94415,delivery,6.5,2.16
94416,moped,2.1,0.8
94417,passenger,5,1.8
94418,moped,2.1,0.8
94419,passenger,5,1.8
94420,motorcycle,2.2,0.9
94421,delivery,6.5,2.16
94423,delivery,6.5,2.16
94424,motorcycle,2.2,0.9
94425,moped,2.1,0.8
94426,motorcycle,2.2,0.9
94427,delivery,6.5,2.16
94428,delivery,6.5,2.16
94429,delivery,6.5,2.16
94430,delivery,6.5,2.16
94431,delivery,6.5,2.16
94432,passenger,5,1.8
