vehicle_id,shape_collider,length,width
93085,motorcycle,2.2,0.9
93086,passenger,5,1.8
93087,passenger,5,1.8
93089,passenger,5,1.8
93090,motorcycle,2.2,0.9
93091,delivery,6.5,2.16
93092,delivery,6.5,2.16
93093,delivery,6.5,2.16
93094,passenger,5,1.8
93095,bus,12,2.5
93096,passenger,5,1.8
93097,passenger,5,1.8
93098,delivery,6.5,2.16
93099,delivery,6.5,2.16
93100,passenger,5,1.8
93101,passenger,5,1.8
93102,passenger,5,1.8
93103,passenger,5,1.8
93104,moped,2.1,0.8
93105,passenger,5,1.8
93106,passenger,5,1.8
93107,delivery,6.5,2.16
93108,delivery,6.5,2.16
93109,delivery,6.5,2.16
93110,passenger,5,1.8
93111,delivery,6.5,2.16
93112,delivery,6.5,2.16
93113,delivery,6.5,2.16
93114,delivery,6.5,2.16
93115,moped,2.1,0.8
93116,motorcycle,2.2,0.9
93117,moped,2.1,0.8
93118,passenger,5,1.8
93119,delivery,6.5,2.16
93120,delivery,6.5,2.16
93121,delivery,6.5,2.16
93122,delivery,6.5,2.16
93123,delivery,6.5,2.16
93124,passenger,5,1.8
93125,passenger,5,1.8
93126,delivery,6.5,2.16
93127,passenger,5,1.8
93128,motorcycle,2.2,0.9
93129,delivery,6.5,2.16
93130,motorcycle,2.2,0.9
93131,passenger,5,1.8
93132,moped,2.1,0.8
93133,delivery,6.5,2.16
93134,motorcycle,2.2,0.9
93135,motorcycle,2.2,0.9
93136,bus,12,2.5
93137,passenger,5,1.8
93138,passenger,5,1.8
93139,delivery,6.5,2.16
93140,delivery,6.5,2.16
93141,delivery,6.5,2.16
93142,motorcycle,2.2,0.9
93143,delivery,6.5,2.16
93144,delivery,6.5,2.16
93145,delivery,6.5,2.16
93147,passenger,5,1.8
93148,delivery,6.5,2.16
93149,passenger,5,1.8
93150,delivery,6.5,2.16
93151,passenger,5,1.8
93152,motorcycle,2.2,0.9
93153,motorcycle,2.2,0.9
93154,bus,12,2.5
93155,delivery,6.5,2.16
93156,passenger,5,1.8
93157,motorcycle,2.2,0.9
93158,delivery,6.5,2.16
93159,bus,12,2.5
93160,delivery,6.5,2.16
93161,passenger,5,1.8
93162,motorcycle,2.2,0.9
93163,passenger,5,1.8
93164,passenger,5,1.8
93165,passenger,5,1.8
93166,moped,2.1,0.8
93167,delivery,6.5,2.16
93168,passenger,5,1.8
93169,delivery,6.5,2.16
93170,motorcycle,2.2,0.9
93171,moped,2.1,0.8
93172,delivery,6.5,2.16
93173,delivery,6.5,2.16
93174,motorcycle,2.2,0.9
93175,delivery,6.5,2.16
93177,delivery,6.5,2.16
93178,motorcycle,2.2,0.9
93179,passenger,5,1.8
93180,delivery,6.5,2.16
93181,delivery,6.5,2.16
93182,moped,2.1,0.8
93183,delivery,6.5,2.16
93184,passenger,5,1.8
93185,delivery,6.5,2.16
93186,motorcycle,2.2,0.9
93187,passenger,5,1.8
93188,passenger,5,1.8
93189,passenger,5,1.8
93190,delivery,6.5,2.16
93191,delivery,6.5,2.16
